TRAIN_DATA = [
    ('El vencimiento del crédito hipotecario será el diciembre de 2028.', {'entities': [(47, 64, 'DATE')]}),
    ('El saldo pendiente asciende a US$ 200,000.00.', {'entities': [(30, 44, 'MONEY')]}),
    ('El valor total de la transacción es de US$ 99,999.99.', {'entities': [(39, 52, 'MONEY')]}),
    ('Se fija una penalidad de S/ 25,000.00 en caso de incumplimiento.', {'entities': [(25, 37, 'MONEY')]}),
    ('El pago final será de US$ 15,000.00.', {'entities': [(22, 35, 'MONEY')]}),
    ('El comprador entregará un adelanto de S/ 25,000.00.', {'entities': [(38, 50, 'MONEY')]}),
    ('La reserva mínima será de S/ 80,000.00.', {'entities': [(26, 38, 'MONEY')]}),
    ('El contrato estipula un reembolso de US$ 750,000.00.', {'entities': [(37, 51, 'MONEY')]}),
    ('El precio total del inmueble es de US$ 15,000.00.', {'entities': [(35, 48, 'MONEY')]}),
    ('La reserva mínima será de US$ 99,999.99.', {'entities': [(26, 39, 'MONEY')]}),
    ('El valor total de la transacción es de S/ 80,000.00.', {'entities': [(39, 51, 'MONEY')]}),
    ('La segunda cuota será por un monto de US$ 99,999.99.', {'entities': [(38, 51, 'MONEY')]}),
    ('El precio total del inmueble es de S/ 120,000.00.', {'entities': [(35, 48, 'MONEY')]}),
    ('Se fija una penalidad de S/ 120,000.00 en caso de incumplimiento.', {'entities': [(25, 38, 'MONEY')]}),
    ('El saldo pendiente asciende a US$ 200,000.00.', {'entities': [(30, 44, 'MONEY')]}),
    ('La segunda cuota será por un monto de S/ 25,000.00.', {'entities': [(38, 50, 'MONEY')]}),
    ('El precio total del inmueble es de US$ 200,000.00.', {'entities': [(35, 49, 'MONEY')]}),
    ('El precio total del inmueble es de US$ 200,000.00.', {'entities': [(35, 49, 'MONEY')]}),
    ('El contrato estipula un reembolso de US$ 200,000.00.', {'entities': [(37, 51, 'MONEY')]}),
    ('El contrato estipula un reembolso de US$ 200,000.00.', {'entities': [(37, 51, 'MONEY')]}),
    ('El comprador entregará un adelanto de US$ 5,500.00.', {'entities': [(38, 50, 'MONEY')]}),
    ('El valor total de la transacción es de US$ 15,000.00.', {'entities': [(39, 52, 'MONEY')]}),
    ('La reserva mínima será de US$ 200,000.00.', {'entities': [(26, 40, 'MONEY')]}),
    ('Se fija una penalidad de S/ 80,000.00 en caso de incumplimiento.', {'entities': [(25, 37, 'MONEY')]}),
    ('La reserva mínima será de US$ 750,000.00.', {'entities': [(26, 40, 'MONEY')]}),
    ('Las partes acuerdan una garantía equivalente a S/ 25,000.00.', {'entities': [(47, 59, 'MONEY')]}),
    ('El valor total de la transacción es de S/ 5,000.00.', {'entities': [(39, 50, 'MONEY')]}),
    ('El saldo pendiente asciende a S/ 45,600.00.', {'entities': [(30, 42, 'MONEY')]}),
    ('El precio total del inmueble es de US$ 200,000.00.', {'entities': [(35, 49, 'MONEY')]}),
    ('El valor total de la transacción es de S/ 80,000.00.', {'entities': [(39, 51, 'MONEY')]}),
    ('El contrato estipula un reembolso de US$ 15,000.00.', {'entities': [(37, 50, 'MONEY')]}),
    ('Se fija una penalidad de US$ 200,000.00 en caso de incumplimiento.', {'entities': [(25, 39, 'MONEY')]}),
    ('El saldo pendiente asciende a S/ 1,000,000.00.', {'entities': [(30, 45, 'MONEY')]}),
    ('El precio total del inmueble es de S/ 1,000,000.00.', {'entities': [(35, 50, 'MONEY')]}),
    ('El comprador entregará un adelanto de US$ 15,000.00.', {'entities': [(38, 51, 'MONEY')]}),
    ('Las partes acuerdan una garantía equivalente a US$ 200,000.00.', {'entities': [(47, 61, 'MONEY')]}),
    ('El pago final será de US$ 15,000.00.', {'entities': [(22, 35, 'MONEY')]}),
    ('El contrato estipula un reembolso de US$ 750,000.00.', {'entities': [(37, 51, 'MONEY')]}),
    ('El saldo pendiente asciende a US$ 5,500.00.', {'entities': [(30, 42, 'MONEY')]}),
    ('La reserva mínima será de US$ 200,000.00.', {'entities': [(26, 40, 'MONEY')]}),
    ('El pago final será de S/ 5,000.00.', {'entities': [(22, 33, 'MONEY')]}),
    ('El valor total de la transacción es de S/ 120,000.00.', {'entities': [(39, 52, 'MONEY')]}),
    ('El valor total de la transacción es de US$ 15,000.00.', {'entities': [(39, 52, 'MONEY')]}),
    ('Las partes acuerdan una garantía equivalente a US$ 10,000.00.', {'entities': [(47, 60, 'MONEY')]}),
    ('Se fija una penalidad de S/ 45,600.00 en caso de incumplimiento.', {'entities': [(25, 37, 'MONEY')]}),
    ('El precio total del inmueble es de US$ 750,000.00.', {'entities': [(35, 49, 'MONEY')]}),
    ('Se fija una penalidad de US$ 10,000.00 en caso de incumplimiento.', {'entities': [(25, 38, 'MONEY')]}),
    ('El pago final será de S/ 1,000,000.00.', {'entities': [(22, 37, 'MONEY')]}),
    ('El contrato estipula un reembolso de S/ 1,000,000.00.', {'entities': [(37, 52, 'MONEY')]}),
    ('El pago final será de US$ 99,999.99.', {'entities': [(22, 35, 'MONEY')]}),
    ('El saldo pendiente asciende a S/ 350,000.00.', {'entities': [(30, 43, 'MONEY')]}),
    ('Las partes acuerdan una garantía equivalente a US$ 750,000.00.', {'entities': [(47, 61, 'MONEY')]}),
    ('La segunda cuota será por un monto de S/ 80,000.00.', {'entities': [(38, 50, 'MONEY')]}),
    ('El precio total del inmueble es de US$ 750,000.00.', {'entities': [(35, 49, 'MONEY')]}),
    ('Las partes acuerdan una garantía equivalente a S/ 45,600.00.', {'entities': [(47, 59, 'MONEY')]}),
    ('Las partes acuerdan una garantía equivalente a S/ 25,000.00.', {'entities': [(47, 59, 'MONEY')]}),
    ('El saldo pendiente asciende a US$ 200,000.00.', {'entities': [(30, 44, 'MONEY')]}),
    ('La reserva mínima será de S/ 1,000,000.00.', {'entities': [(26, 41, 'MONEY')]}),
    ('Las partes acuerdan una garantía equivalente a S/ 1,000,000.00.', {'entities': [(47, 62, 'MONEY')]}),
    ('El precio total del inmueble es de US$ 10,000.00.', {'entities': [(35, 48, 'MONEY')]}),
    ('El contrato estipula un reembolso de US$ 15,000.00.', {'entities': [(37, 50, 'MONEY')]}),
    ('El valor total de la transacción es de US$ 320,000.00.', {'entities': [(39, 53, 'MONEY')]}),
    ('El pago final será de US$ 5,500.00.', {'entities': [(22, 34, 'MONEY')]}),
    ('La reserva mínima será de S/ 5,000.00.', {'entities': [(26, 37, 'MONEY')]}),
    ('El valor total de la transacción es de US$ 50,000.00.', {'entities': [(39, 52, 'MONEY')]}),
    ('Las partes acuerdan una garantía equivalente a US$ 99,999.99.', {'entities': [(47, 60, 'MONEY')]}),
    ('El comprador entregará un adelanto de S/ 25,000.00.', {'entities': [(38, 50, 'MONEY')]}),
    ('El saldo pendiente asciende a US$ 50,000.00.', {'entities': [(30, 43, 'MONEY')]}),
    ('El saldo pendiente asciende a S/ 120,000.00.', {'entities': [(30, 43, 'MONEY')]}),
    ('El pago final será de US$ 750,000.00.', {'entities': [(22, 36, 'MONEY')]}),
    ('El precio total del inmueble es de US$ 750,000.00.', {'entities': [(35, 49, 'MONEY')]}),
    ('El precio total del inmueble es de S/ 45,600.00.', {'entities': [(35, 47, 'MONEY')]}),
    ('El pago final será de US$ 15,000.00.', {'entities': [(22, 35, 'MONEY')]}),
    ('Las partes acuerdan una garantía equivalente a S/ 5,000.00.', {'entities': [(47, 58, 'MONEY')]}),
    ('La reserva mínima será de US$ 320,000.00.', {'entities': [(26, 40, 'MONEY')]}),
    ('El pago final será de S/ 1,000,000.00.', {'entities': [(22, 37, 'MONEY')]}),
    ('Las partes acuerdan una garantía equivalente a US$ 10,000.00.', {'entities': [(47, 60, 'MONEY')]}),
    ('El contrato estipula un reembolso de S/ 80,000.00.', {'entities': [(37, 49, 'MONEY')]}),
    ('El contrato estipula un reembolso de S/ 120,000.00.', {'entities': [(37, 50, 'MONEY')]}),
    ('Las partes acuerdan una garantía equivalente a US$ 5,500.00.', {'entities': [(47, 59, 'MONEY')]}),
    ('La reserva mínima será de S/ 120,000.00.', {'entities': [(26, 39, 'MONEY')]}),
    ('El comprador entregará un adelanto de S/ 5,000.00.', {'entities': [(38, 49, 'MONEY')]}),
    ('Se fija una penalidad de US$ 50,000.00 en caso de incumplimiento.', {'entities': [(25, 38, 'MONEY')]}),
    ('La reserva mínima será de S/ 500.00.', {'entities': [(26, 35, 'MONEY')]}),
    ('El saldo pendiente asciende a S/ 80,000.00.', {'entities': [(30, 42, 'MONEY')]}),
    ('Se fija una penalidad de US$ 200,000.00 en caso de incumplimiento.', {'entities': [(25, 39, 'MONEY')]}),
    ('El saldo pendiente asciende a S/ 5,000.00.', {'entities': [(30, 41, 'MONEY')]}),
    ('El saldo pendiente asciende a US$ 5,500.00.', {'entities': [(30, 42, 'MONEY')]}),
    ('La segunda cuota será por un monto de US$ 10,000.00.', {'entities': [(38, 51, 'MONEY')]}),
    ('El contrato estipula un reembolso de US$ 750,000.00.', {'entities': [(37, 51, 'MONEY')]}),
    ('La segunda cuota será por un monto de US$ 15,000.00.', {'entities': [(38, 51, 'MONEY')]}),
    ('El valor total de la transacción es de US$ 320,000.00.', {'entities': [(39, 53, 'MONEY')]}),
    ('El pago final será de US$ 5,500.00.', {'entities': [(22, 34, 'MONEY')]}),
    ('El precio total del inmueble es de US$ 750,000.00.', {'entities': [(35, 49, 'MONEY')]}),
    ('El comprador entregará un adelanto de US$ 50,000.00.', {'entities': [(38, 51, 'MONEY')]}),
    ('El pago final será de US$ 5,500.00.', {'entities': [(22, 34, 'MONEY')]}),
    ('El pago final será de US$ 99,999.99.', {'entities': [(22, 35, 'MONEY')]}),
    ('El saldo pendiente asciende a S/ 500.00.', {'entities': [(30, 39, 'MONEY')]}),
    ('El comprador entregará un adelanto de US$ 10,000.00.', {'entities': [(38, 51, 'MONEY')]}),
    ('Se fija una penalidad de US$ 50,000.00 en caso de incumplimiento.', {'entities': [(25, 38, 'MONEY')]}),
    ('El comprador entregará un adelanto de S/ 120,000.00.', {'entities': [(38, 51, 'MONEY')]}),
    ('Las partes acuerdan una garantía equivalente a S/ 350,000.00.', {'entities': [(47, 60, 'MONEY')]}),
    ('La reserva mínima será de US$ 320,000.00.', {'entities': [(26, 40, 'MONEY')]}),
    ('El pago final será de S/ 500.00.', {'entities': [(22, 31, 'MONEY')]}),
    ('El contrato estipula un reembolso de S/ 45,600.00.', {'entities': [(37, 49, 'MONEY')]}),
    ('El precio total del inmueble es de US$ 750,000.00.', {'entities': [(35, 49, 'MONEY')]}),
    ('Las partes acuerdan una garantía equivalente a US$ 5,500.00.', {'entities': [(47, 59, 'MONEY')]}),
    ('El saldo pendiente asciende a US$ 750,000.00.', {'entities': [(30, 44, 'MONEY')]}),
    ('El saldo pendiente asciende a S/ 500.00.', {'entities': [(30, 39, 'MONEY')]}),
    ('El valor total de la transacción es de US$ 10,000.00.', {'entities': [(39, 52, 'MONEY')]}),
    ('Se fija una penalidad de US$ 50,000.00 en caso de incumplimiento.', {'entities': [(25, 38, 'MONEY')]}),
    ('Las partes acuerdan una garantía equivalente a US$ 50,000.00.', {'entities': [(47, 60, 'MONEY')]}),
    ('El contrato estipula un reembolso de US$ 5,500.00.', {'entities': [(37, 49, 'MONEY')]}),
    ('El valor total de la transacción es de S/ 5,000.00.', {'entities': [(39, 50, 'MONEY')]}),
    ('Las partes acuerdan una garantía equivalente a S/ 5,000.00.', {'entities': [(47, 58, 'MONEY')]}),
    ('Se fija una penalidad de S/ 45,600.00 en caso de incumplimiento.', {'entities': [(25, 37, 'MONEY')]}),
    ('El valor total de la transacción es de US$ 5,500.00.', {'entities': [(39, 51, 'MONEY')]}),
]
